Tournament,Season,Format,Team_Name,Team_ID,Division_ID,Final_Position,Finish_Type,Position,Champion,Runner_Up,Division_Position,Pool_Label,Matches_Played,Wins,Losses,Ties,No_Results,Points,Net_Run_Rate
CSA Women's Provincial League 2013/14,13/14,List A,Badgers,BADG,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,West/East,10,2,7,0,0,12,-1.689
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Boland,BOLA,D1,1,CHAMPION,1,1,0,1,Group A,2,2,0,0,0,9,1.435
CSA Women's Provincial League 2013/14,13/14,List A,Boland,BOLA,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,West/East,10,8,2,0,0,38,2.527
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Dolphins,DOLP,D1,3,THIRD_PLACE,3,0,0,1,Group C,3,3,0,0,0,15,3.975
CSA Women's Provincial League 2013/14,13/14,List A,Dolphins,DOLP,D1,2,RUNNER_UP,2,0,1,1,Central,8,7,0,0,0,37,2.655
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Dragons,DRAG,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group D,5,3,2,0,0,14,2.954
CSA Women's Provincial League 2013/14,13/14,List A,Dragons,DRAG,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Central,8,4,2,0,1,24,0.884
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Eastern Storm,STOR,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Group D,5,2,3,0,0,10,0.906
CSA Women's Provincial League 2013/14,13/14,List A,Eastern Storm,STOR,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Highveld,8,4,4,0,0,18,-0.346
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Heat,HEAT,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Group C,3,0,3,0,0,0,-2.48
CSA Women's Provincial League 2013/14,13/14,List A,Heat,HEAT,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Central,8,3,5,0,0,15,-1.923
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Iinyathi,IINY,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group B,2,1,0,0,0,7,6.169
CSA Women's Provincial League 2013/14,13/14,List A,Iinyathi,IINY,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,West/East,10,6,4,0,0,29,0.462
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Kei,KEI,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group B,2,0,2,0,0,0,-7.388
CSA Women's Provincial League 2013/14,13/14,List A,Kei,KEI,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,West/East,10,0,10,0,0,0,-4.838
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Knights,KNIG,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group C,3,2,1,0,0,9,0.976
CSA Women's Provincial League 2013/14,13/14,List A,Knights,KNIG,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Central,8,1,4,0,0,11,-0.498
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Limpopo Lillies,LIMP,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,Group D,5,0,4,0,0,2,-5.612
CSA Women's Provincial League 2013/14,13/14,List A,Limpopo Lillies,LIMP,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Highveld,8,1,7,0,0,5,-2.335
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Lions,LION,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Group D,5,4,1,0,0,18,1.447
CSA Women's Provincial League 2013/14,13/14,List A,Lions,LION,D1,,SEMI_FINALIST,1,0,0,1,Highveld,8,7,1,0,0,35,2.003
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Group D,5,0,3,0,0,4,-4.575
CSA Women's Provincial League 2013/14,13/14,List A,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Highveld,8,1,7,0,0,5,-1.556
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Titans,TITA,D1,2,RUNNER_UP,2,0,1,1,Group D,5,4,0,0,0,21,2.128
CSA Women's Provincial League 2013/14,13/14,List A,Titans,TITA,D1,,SEMI_FINALIST,2,0,0,2,Highveld,8,7,1,0,0,34,2.425
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Tuskers,TUSK,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group C,3,1,2,0,0,4,-2.399
CSA Women's Provincial League 2013/14,13/14,List A,Tuskers,TUSK,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Central,8,1,5,0,1,9,-0.87
CSA Women's Provincial T20 Competition 2013/14,13/14,T20,Warriors,EAST,D1,4,SEMI_FINALIST,4,0,0,1,Group B,2,1,0,0,0,7,8.45
